,start_date,end_date,team,role
0,10/2017,06/2018,Bayern München,Manager
1,07/2011,06/2013,Bayern München,Manager
2,07/2009,06/2011,Bayer Leverkusen,Manager
3,04/2009,06/2009,Bayern München,Manager
4,07/2006,01/2007,Bor. Mönchengladbach,Manager
5,07/2003,09/2004,FC Schalke 04,Manager
6,07/2001,06/2003,Athletic Bilbao,Manager
7,07/1999,09/2000,SL Benfica,Manager
8,07/1997,06/1998,Real Madrid,Manager
9,07/1995,06/1997,CD Tenerife,Manager
10,07/1994,04/1995,Eintracht Frankfurt,Manager
11,07/1992,06/1994,Athletic Bilbao,Manager
12,07/1987,10/1991,Bayern München,Manager
13,07/1979,06/1987,Bor. Mönchengladbach,Manager
